# GRID: NUMBER OF POINTS: 10001 STRETCHING COEFFICIENT ALPHA:   9.99999975E-05
 #I        YPAD              YHAD
106        0.00024406        0.00000234
107        0.00024640        0.00000234
108        0.00024874        0.00000234
109        0.00025108        0.00000234
110        0.00025341        0.00000234
111        0.00025575        0.00000234
112        0.00025809        0.00000234
113        0.00026043        0.00000234
114        0.00026277        0.00000234
115        0.00026510        0.00000234
116        0.00026744        0.00000234
117        0.00026978        0.00000234
118        0.00027212        0.00000234
119        0.00027446        0.00000234
120        0.00027680        0.00000234
121        0.00027914        0.00000234
122        0.00028148        0.00000234
123        0.00028382        0.00000234
124        0.00028616        0.00000234
125        0.00028850        0.00000234
126        0.00029084        0.00000234
127        0.00029319        0.00000234
128        0.00029553        0.00000234
129        0.00029787        0.00000234
130        0.00030021        0.00000234
131        0.00030255        0.00000234
132        0.00030490        0.00000234
133        0.00030724        0.00000234
134        0.00030958        0.00000234
135        0.00031193        0.00000234
136        0.00031427        0.00000234
137        0.00031661        0.00000234
138        0.00031896        0.00000234
139        0.00032130        0.00000234
140        0.00032365        0.00000234
141        0.00032599        0.00000234
142        0.00032834        0.00000234
143        0.00033068        0.00000235
144        0.00033303        0.00000235
145        0.00033537        0.00000235
146        0.00033772        0.00000235
147        0.00034006        0.00000235
148        0.00034241        0.00000235
149        0.00034476        0.00000235
150        0.00034710        0.00000235
151        0.00034945        0.00000235
152        0.00035180        0.00000235
153        0.00035415        0.00000235
154        0.00035649        0.00000235
155        0.00035884        0.00000235
156        0.00036119        0.00000235
157        0.00036354        0.00000235
158        0.00036589        0.00000235
159        0.00036824        0.00000235
160        0.00037058        0.00000235
161        0.00037293        0.00000235
162        0.00037528        0.00000235
163        0.00037763        0.00000235
164        0.00037998        0.00000235
165        0.00038233        0.00000235
166        0.00038468        0.00000235
167        0.00038704        0.00000235
168        0.00038939        0.00000235
169        0.00039174        0.00000235
170        0.00039409        0.00000235
171        0.00039644        0.00000235
172        0.00039879        0.00000235
173        0.00040115        0.00000235
174        0.00040350        0.00000235
175        0.00040585        0.00000235
176        0.00040820        0.00000235
177        0.00041056        0.00000235
178        0.00041291        0.00000235
179        0.00041526        0.00000235
180        0.00041762        0.00000235
181        0.00041997        0.00000235
182        0.00042233        0.00000235
183        0.00042468        0.00000235
184        0.00042704        0.00000235
185        0.00042939        0.00000236
186        0.00043175        0.00000236
187        0.00043410        0.00000236
188        0.00043646        0.00000236
189        0.00043881        0.00000236
190        0.00044117        0.00000236
191        0.00044353        0.00000236
192        0.00044588        0.00000236
193        0.00044824        0.00000236
194        0.00045060        0.00000236
195        0.00045295        0.00000236
196        0.00045531        0.00000236
197        0.00045767        0.00000236
198        0.00046003        0.00000236
199        0.00046239        0.00000236
200        0.00046474        0.00000236
201        0.00046710        0.00000236
202        0.00046946        0.00000236
203        0.00047182        0.00000236
204        0.00047418        0.00000236
205        0.00047654        0.00000236
206        0.00047890        0.00000236
207        0.00048126        0.00000236
208        0.00048362        0.00000236
209        0.00048598        0.00000236
210        0.00048834        0.00000236
211        0.00049070        0.00000236
212        0.00049307        0.00000236
213        0.00049543        0.00000236
214        0.00049779        0.00000236
215        0.00050015        0.00000236
216        0.00050251        0.00000236
217        0.00050488        0.00000236
218        0.00050724        0.00000236
219        0.00050960        0.00000236
220        0.00051197        0.00000236
221        0.00051433        0.00000236
222        0.00051669        0.00000236
223        0.00051906        0.00000236
224        0.00052142        0.00000236
225        0.00052379        0.00000236
226        0.00052615        0.00000236
227        0.00052852        0.00000236
228        0.00053088        0.00000237
229        0.00053325        0.00000237
230        0.00053561        0.00000237
231        0.00053798        0.00000237
232        0.00054034        0.00000237
233        0.00054271        0.00000237
234        0.00054508        0.00000237
235        0.00054744        0.00000237
236        0.00054981        0.00000237
237        0.00055218        0.00000237
238        0.00055455        0.00000237
239        0.00055691        0.00000237
240        0.00055928        0.00000237
241        0.00056165        0.00000237
242        0.00056402        0.00000237
243        0.00056639        0.00000237
244        0.00056876        0.00000237
245        0.00057113        0.00000237
246        0.00057350        0.00000237
247        0.00057587        0.00000237
248        0.00057824        0.00000237
249        0.00058061        0.00000237
250        0.00058298        0.00000237
251        0.00058535        0.00000237
252        0.00058772        0.00000237
253        0.00059009        0.00000237
254        0.00059246        0.00000237
255        0.00059483        0.00000237
256        0.00059720        0.00000237
257        0.00059958        0.00000237
258        0.00060195        0.00000237
259        0.00060432        0.00000237
260        0.00060669        0.00000237
261        0.00060907        0.00000237
262        0.00061144        0.00000237
263        0.00061381        0.00000237
264        0.00061619        0.00000237
265        0.00061856        0.00000237
266        0.00062093        0.00000237
267        0.00062331        0.00000237
268        0.00062568        0.00000237
269        0.00062806        0.00000237
270        0.00063043        0.00000238
271        0.00063281        0.00000238
272        0.00063519        0.00000238
273        0.00063756        0.00000238
274        0.00063994        0.00000238
275        0.00064231        0.00000238
276        0.00064469        0.00000238
277        0.00064707        0.00000238
278        0.00064944        0.00000238
279        0.00065182        0.00000238
280        0.00065420        0.00000238
281        0.00065658        0.00000238
282        0.00065895        0.00000238
283        0.00066133        0.00000238
284        0.00066371        0.00000238
285        0.00066609        0.00000238
286        0.00066847        0.00000238
287        0.00067085        0.00000238
288        0.00067323        0.00000238
289        0.00067561        0.00000238
290        0.00067799        0.00000238
291        0.00068037        0.00000238
292        0.00068275        0.00000238
293        0.00068513        0.00000238
294        0.00068751        0.00000238
295        0.00068989        0.00000238
296        0.00069227        0.00000238
297        0.00069465        0.00000238
298        0.00069704        0.00000238
299        0.00069942        0.00000238
300        0.00070180        0.00000238
301        0.00070418        0.00000238
302        0.00070657        0.00000238
303        0.00070895        0.00000238
304        0.00071133        0.00000238
305        0.00071371        0.00000238
306        0.00071610        0.00000238
307        0.00071848        0.00000238
308        0.00072087        0.00000238
309        0.00072325        0.00000238
310        0.00072564        0.00000238
311        0.00072802        0.00000238
312        0.00073041        0.00000239
313        0.00073279        0.00000239
314        0.00073518        0.00000239
315        0.00073756        0.00000239
316        0.00073995        0.00000239
317        0.00074234        0.00000239
318        0.00074472        0.00000239
319        0.00074711        0.00000239
320        0.00074950        0.00000239
321        0.00075188        0.00000239
322        0.00075427        0.00000239
323        0.00075666        0.00000239
324        0.00075905        0.00000239
325        0.00076143        0.00000239
326        0.00076382        0.00000239
327        0.00076621        0.00000239
328        0.00076860        0.00000239
329        0.00077099        0.00000239
330        0.00077338        0.00000239
331        0.00077577        0.00000239
332        0.00077816        0.00000239
333        0.00078055        0.00000239
334        0.00078294        0.00000239
335        0.00078533        0.00000239
336        0.00078772        0.00000239
337        0.00079011        0.00000239
338        0.00079250        0.00000239
339        0.00079490        0.00000239
340        0.00079729        0.00000239
341        0.00079968        0.00000239
342        0.00080207        0.00000239
343        0.00080446        0.00000239
344        0.00080686        0.00000239
345        0.00080925        0.00000239
346        0.00081164        0.00000239
347        0.00081404        0.00000239
348        0.00081643        0.00000239
349        0.00081882        0.00000239
350        0.00082122        0.00000239
351        0.00082361        0.00000239
352        0.00082601        0.00000239
353        0.00082840        0.00000239
354        0.00083080        0.00000240
355        0.00083319        0.00000240
356        0.00083559        0.00000240
357        0.00083799        0.00000240
358        0.00084038        0.00000240
359        0.00084278        0.00000240
360        0.00084517        0.00000240
361        0.00084757        0.00000240
362        0.00084997        0.00000240
363        0.00085237        0.00000240
364        0.00085476        0.00000240
365        0.00085716        0.00000240
366        0.00085956        0.00000240
367        0.00086196        0.00000240
368        0.00086436        0.00000240
369        0.00086676        0.00000240
370        0.00086915        0.00000240
371        0.00087155        0.00000240
372        0.00087395        0.00000240
373        0.00087635        0.00000240
374        0.00087875        0.00000240
375        0.00088115        0.00000240
376        0.00088355        0.00000240
377        0.00088595        0.00000240
378        0.00088836        0.00000240
379        0.00089076        0.00000240
380        0.00089316        0.00000240
381        0.00089556        0.00000240
382        0.00089796        0.00000240
383        0.00090036        0.00000240
384        0.00090277        0.00000240
385        0.00090517        0.00000240
386        0.00090757        0.00000240
387        0.00090997        0.00000240
388        0.00091238        0.00000240
389        0.00091478        0.00000240
390        0.00091719        0.00000240
391        0.00091959        0.00000240
392        0.00092199        0.00000240
393        0.00092440        0.00000240
394        0.00092680        0.00000240
395        0.00092921        0.00000241
396        0.00093161        0.00000241
397        0.00093402        0.00000241
398        0.00093642        0.00000241
399        0.00093883        0.00000241
400        0.00094124        0.00000241
401        0.00094364        0.00000241
402        0.00094605        0.00000241
403        0.00094846        0.00000241
404        0.00095086        0.00000241
405        0.00095327        0.00000241
406        0.00095568        0.00000241
407        0.00095809        0.00000241
408        0.00096050        0.00000241
409        0.00096290        0.00000241
410        0.00096531        0.00000241
411        0.00096772        0.00000241
412        0.00097013        0.00000241
413        0.00097254        0.00000241
414        0.00097495        0.00000241
415        0.00097736        0.00000241
416        0.00097977        0.00000241
417        0.00098218        0.00000241
418        0.00098459        0.00000241
419        0.00098700        0.00000241
420        0.00098941        0.00000241
421        0.00099182        0.00000241
422        0.00099424        0.00000241
423        0.00099665        0.00000241
424        0.00099906        0.00000241
425        0.00100147        0.00000241
426        0.00100388        0.00000241
427        0.00100630        0.00000241
428        0.00100871        0.00000241
429        0.00101112        0.00000241
430        0.00101354        0.00000241
431        0.00101595        0.00000241
432        0.00101836        0.00000241
433        0.00102078        0.00000241
434        0.00102319        0.00000241
435        0.00102561        0.00000241
436        0.00102802        0.00000241
437        0.00103044        0.00000242
438        0.00103285        0.00000242
439        0.00103527        0.00000242
440        0.00103768        0.00000242
441        0.00104010        0.00000242
442        0.00104252        0.00000242
443        0.00104493        0.00000242
444        0.00104735        0.00000242
445        0.00104977        0.00000242
446        0.00105218        0.00000242
447        0.00105460        0.00000242
448        0.00105702        0.00000242
449        0.00105944        0.00000242
450        0.00106186        0.00000242
451        0.00106428        0.00000242
452        0.00106669        0.00000242
453        0.00106911        0.00000242
454        0.00107153        0.00000242
455        0.00107395        0.00000242
456        0.00107637        0.00000242
457        0.00107879        0.00000242
458        0.00108121        0.00000242
459        0.00108363        0.00000242
460        0.00108605        0.00000242
461        0.00108847        0.00000242
462        0.00109090        0.00000242
463        0.00109332        0.00000242
464        0.00109574        0.00000242
465        0.00109816        0.00000242
466        0.00110058        0.00000242
467        0.00110300        0.00000242
468        0.00110543        0.00000242
469        0.00110785        0.00000242
470        0.00111027        0.00000242
471        0.00111270        0.00000242
472        0.00111512        0.00000242
473        0.00111754        0.00000242
474        0.00111997        0.00000242
475        0.00112239        0.00000242
476        0.00112482        0.00000242
477        0.00112724        0.00000242
478        0.00112967        0.00000243
479        0.00113209        0.00000243
480        0.00113452        0.00000243
481        0.00113694        0.00000243
482        0.00113937        0.00000243
483        0.00114180        0.00000243
484        0.00114422        0.00000243
485        0.00114665        0.00000243
486        0.00114908        0.00000243
487        0.00115150        0.00000243
488        0.00115393        0.00000243
489        0.00115636        0.00000243
490        0.00115879        0.00000243
491        0.00116122        0.00000243
492        0.00116364        0.00000243
493        0.00116607        0.00000243
494        0.00116850        0.00000243
495        0.00117093        0.00000243
496        0.00117336        0.00000243
497        0.00117579        0.00000243
498        0.00117822        0.00000243
499        0.00118065        0.00000243
500        0.00118308        0.00000243
501        0.00118551        0.00000243
502        0.00118794        0.00000243
503        0.00119037        0.00000243
504        0.00119280        0.00000243
505        0.00119524        0.00000243
506        0.00119767        0.00000243
507        0.00120010        0.00000243
508        0.00120253        0.00000243
509        0.00120497        0.00000243
510        0.00120740        0.00000243
511        0.00120983        0.00000243
512        0.00121226        0.00000243
513        0.00121470        0.00000243
514        0.00121713        0.00000243
515        0.00121957        0.00000243
516        0.00122200        0.00000243
517        0.00122444        0.00000243
518        0.00122687        0.00000243
519        0.00122931        0.00000244
520        0.00123174        0.00000244
521        0.00123418        0.00000244
522        0.00123661        0.00000244
523        0.00123905        0.00000244
524        0.00124148        0.00000244
525        0.00124392        0.00000244
526        0.00124636        0.00000244
527        0.00124879        0.00000244
528        0.00125123        0.00000244
529        0.00125367        0.00000244
530        0.00125611        0.00000244
531        0.00125854        0.00000244
532        0.00126098        0.00000244
533        0.00126342        0.00000244
534        0.00126586        0.00000244
535        0.00126830        0.00000244
536        0.00127074        0.00000244
537        0.00127318        0.00000244
538        0.00127562        0.00000244
539        0.00127806        0.00000244
540        0.00128050        0.00000244
541        0.00128294        0.00000244
542        0.00128538        0.00000244
543        0.00128782        0.00000244
544        0.00129026        0.00000244
545        0.00129270        0.00000244
546        0.00129514        0.00000244
547        0.00129759        0.00000244
548        0.00130003        0.00000244
549        0.00130247        0.00000244
550        0.00130491        0.00000244
551        0.00130736        0.00000244
552        0.00130980        0.00000244
553        0.00131224        0.00000244
554        0.00131469        0.00000244
555        0.00131713        0.00000244
556        0.00131957        0.00000244
557        0.00132202        0.00000244
558        0.00132446        0.00000244
559        0.00132691        0.00000244
560        0.00132935        0.00000245
561        0.00133180        0.00000245
562        0.00133424        0.00000245
563        0.00133669        0.00000245
564        0.00133913        0.00000245
565        0.00134158        0.00000245
566        0.00134403        0.00000245
567        0.00134647        0.00000245
568        0.00134892        0.00000245
569        0.00135137        0.00000245
570        0.00135382        0.00000245
571        0.00135626        0.00000245
572        0.00135871        0.00000245
573        0.00136116        0.00000245
574        0.00136361        0.00000245
575        0.00136606        0.00000245
576        0.00136851        0.00000245
577        0.00137096        0.00000245
578        0.00137340        0.00000245
579        0.00137585        0.00000245
580        0.00137830        0.00000245
581        0.00138075        0.00000245
582        0.00138321        0.00000245
583        0.00138566        0.00000245
584        0.00138811        0.00000245
585        0.00139056        0.00000245
586        0.00139301        0.00000245
587        0.00139546        0.00000245
588        0.00139791        0.00000245
589        0.00140037        0.00000245
590        0.00140282        0.00000245
591        0.00140527        0.00000245
592        0.00140772        0.00000245
593        0.00141018        0.00000245
594        0.00141263        0.00000245
595        0.00141508        0.00000245
596        0.00141754        0.00000245
597        0.00141999        0.00000245
598        0.00142245        0.00000245
599        0.00142490        0.00000245
600        0.00142735        0.00000245
601        0.00142981        0.00000246
602        0.00143227        0.00000246
603        0.00143472        0.00000246
604        0.00143718        0.00000246
605        0.00143963        0.00000246
606        0.00144209        0.00000246
607        0.00144455        0.00000246
608        0.00144700        0.00000246
609        0.00144946        0.00000246
610        0.00145192        0.00000246
611        0.00145437        0.00000246
612        0.00145683        0.00000246
613        0.00145929        0.00000246
614        0.00146175        0.00000246
615        0.00146421        0.00000246
616        0.00146667        0.00000246
617        0.00146913        0.00000246
618        0.00147158        0.00000246
619        0.00147404        0.00000246
620        0.00147650        0.00000246
621        0.00147896        0.00000246
622        0.00148142        0.00000246
623        0.00148388        0.00000246
624        0.00148635        0.00000246
625        0.00148881        0.00000246
626        0.00149127        0.00000246
627        0.00149373        0.00000246
628        0.00149619        0.00000246
629        0.00149865        0.00000246
630        0.00150111        0.00000246
631        0.00150358        0.00000246
632        0.00150604        0.00000246
633        0.00150850        0.00000246
634        0.00151097        0.00000246
635        0.00151343        0.00000246
636        0.00151589        0.00000246
637        0.00151836        0.00000246
638        0.00152082        0.00000246
639        0.00152329        0.00000246
640        0.00152575        0.00000246
641        0.00152822        0.00000246
642        0.00153068        0.00000247
643        0.00153315        0.00000247
644        0.00153561        0.00000247
645        0.00153808        0.00000247
646        0.00154054        0.00000247
647        0.00154301        0.00000247
648        0.00154548        0.00000247
649        0.00154794        0.00000247
650        0.00155041        0.00000247
651        0.00155288        0.00000247
652        0.00155535        0.00000247
653        0.00155781        0.00000247
654        0.00156028        0.00000247
655        0.00156275        0.00000247
656        0.00156522        0.00000247
657        0.00156769        0.00000247
658        0.00157016        0.00000247
659        0.00157263        0.00000247
660        0.00157510        0.00000247
661        0.00157757        0.00000247
662        0.00158004        0.00000247
663        0.00158251        0.00000247
664        0.00158498        0.00000247
665        0.00158745        0.00000247
666        0.00158992        0.00000247
667        0.00159239        0.00000247
668        0.00159486        0.00000247
669        0.00159733        0.00000247
670        0.00159981        0.00000247
671        0.00160228        0.00000247
672        0.00160475        0.00000247
673        0.00160722        0.00000247
674        0.00160970        0.00000247
675        0.00161217        0.00000247
676        0.00161464        0.00000247
677        0.00161712        0.00000247
678        0.00161959        0.00000247
679        0.00162207        0.00000247
680        0.00162454        0.00000247
681        0.00162702        0.00000247
682        0.00162949        0.00000248
683        0.00163197        0.00000248
684        0.00163444        0.00000248
685        0.00163692        0.00000248
686        0.00163939        0.00000248
687        0.00164187        0.00000248
688        0.00164435        0.00000248
689        0.00164682        0.00000248
690        0.00164930        0.00000248
691        0.00165178        0.00000248
692        0.00165425        0.00000248
693        0.00165673        0.00000248
694        0.00165921        0.00000248
695        0.00166169        0.00000248
696        0.00166417        0.00000248
697        0.00166665        0.00000248
698        0.00166913        0.00000248
699        0.00167160        0.00000248
700        0.00167408        0.00000248
701        0.00167656        0.00000248
702        0.00167904        0.00000248
703        0.00168152        0.00000248
704        0.00168400        0.00000248
705        0.00168649        0.00000248
706        0.00168897        0.00000248
707        0.00169145        0.00000248
708        0.00169393        0.00000248
709        0.00169641        0.00000248
710        0.00169889        0.00000248
711        0.00170138        0.00000248
712        0.00170386        0.00000248
713        0.00170634        0.00000248
714        0.00170882        0.00000248
715        0.00171131        0.00000248
716        0.00171379        0.00000248
717        0.00171627        0.00000248
718        0.00171876        0.00000248
719        0.00172124        0.00000248
720        0.00172373        0.00000248
721        0.00172621        0.00000248
722        0.00172870        0.00000248
723        0.00173118        0.00000249
724        0.00173367        0.00000249
725        0.00173615        0.00000249
726        0.00173864        0.00000249
727        0.00174113        0.00000249
728        0.00174361        0.00000249
729        0.00174610        0.00000249
730        0.00174859        0.00000249
731        0.00175107        0.00000249
732        0.00175356        0.00000249
733        0.00175605        0.00000249
734        0.00175854        0.00000249
735        0.00176102        0.00000249
736        0.00176351        0.00000249
737        0.00176600        0.00000249
738        0.00176849        0.00000249
739        0.00177098        0.00000249
740        0.00177347        0.00000249
741        0.00177596        0.00000249
742        0.00177845        0.00000249
743        0.00178094        0.00000249
744        0.00178343        0.00000249
745        0.00178592        0.00000249
746        0.00178841        0.00000249
747        0.00179090        0.00000249
748        0.00179339        0.00000249
749        0.00179589        0.00000249
750        0.00179838        0.00000249
751        0.00180087        0.00000249
752        0.00180336        0.00000249
753        0.00180585        0.00000249
754        0.00180835        0.00000249
755        0.00181084        0.00000249
756        0.00181333        0.00000249
757        0.00181583        0.00000249
758        0.00181832        0.00000249
759        0.00182082        0.00000249
760        0.00182331        0.00000249
761        0.00182581        0.00000249
762        0.00182830        0.00000249
763        0.00183080        0.00000250
764        0.00183329        0.00000250
765        0.00183579        0.00000250
766        0.00183828        0.00000250
767        0.00184078        0.00000250
768        0.00184327        0.00000250
769        0.00184577        0.00000250
770        0.00184827        0.00000250
771        0.00185077        0.00000250
772        0.00185326        0.00000250
773        0.00185576        0.00000250
774        0.00185826        0.00000250
775        0.00186076        0.00000250
776        0.00186326        0.00000250
777        0.00186575        0.00000250
778        0.00186825        0.00000250
779        0.00187075        0.00000250
780        0.00187325        0.00000250
781        0.00187575        0.00000250
782        0.00187825        0.00000250
783        0.00188075        0.00000250
784        0.00188325        0.00000250
785        0.00188575        0.00000250
786        0.00188825        0.00000250
787        0.00189075        0.00000250
788        0.00189326        0.00000250
789        0.00189576        0.00000250
790        0.00189826        0.00000250
791        0.00190076        0.00000250
792        0.00190326        0.00000250
793        0.00190577        0.00000250
794        0.00190827        0.00000250
795        0.00191077        0.00000250
796        0.00191328        0.00000250
797        0.00191578        0.00000250
798        0.00191828        0.00000250
799        0.00192079        0.00000250
800        0.00192329        0.00000250
801        0.00192580        0.00000250
802        0.00192830        0.00000250
803        0.00193081        0.00000251
804        0.00193331        0.00000251
805        0.00193582        0.00000251
806        0.00193833        0.00000251
807        0.00194083        0.00000251
808        0.00194334        0.00000251
809        0.00194584        0.00000251
810        0.00194835        0.00000251
811        0.00195086        0.00000251
812        0.00195337        0.00000251
813        0.00195587        0.00000251
814        0.00195838        0.00000251
815        0.00196089        0.00000251
816        0.00196340        0.00000251
817        0.00196591        0.00000251
818        0.00196842        0.00000251
819        0.00197093        0.00000251
820        0.00197343        0.00000251
821        0.00197594        0.00000251
822        0.00197845        0.00000251
823        0.00198096        0.00000251
824        0.00198347        0.00000251
825        0.00198599        0.00000251
826        0.00198850        0.00000251
827        0.00199101        0.00000251
828        0.00199352        0.00000251
829        0.00199603        0.00000251
830        0.00199854        0.00000251
831        0.00200106        0.00000251
832        0.00200357        0.00000251
833        0.00200608        0.00000251
834        0.00200859        0.00000251
835        0.00201111        0.00000251
836        0.00201362        0.00000251
837        0.00201613        0.00000251
838        0.00201865        0.00000251
839        0.00202116        0.00000251
840        0.00202368        0.00000251
841        0.00202619        0.00000251
842        0.00202871        0.00000251
843        0.00203122        0.00000252
844        0.00203374        0.00000252
845        0.00203625        0.00000252
846        0.00203877        0.00000252
847        0.00204128        0.00000252
848        0.00204380        0.00000252
849        0.00204632        0.00000252
850        0.00204884        0.00000252
851        0.00205135        0.00000252
852        0.00205387        0.00000252
853        0.00205639        0.00000252
854        0.00205891        0.00000252
855        0.00206142        0.00000252
856        0.00206394        0.00000252
857        0.00206646        0.00000252
858        0.00206898        0.00000252
859        0.00207150        0.00000252
860        0.00207402        0.00000252
861        0.00207654        0.00000252
862        0.00207906        0.00000252
863        0.00208158        0.00000252
864        0.00208410        0.00000252
865        0.00208662        0.00000252
866        0.00208914        0.00000252
867        0.00209166        0.00000252
868        0.00209418        0.00000252
869        0.00209671        0.00000252
870        0.00209923        0.00000252
871        0.00210175        0.00000252
872        0.00210427        0.00000252
873        0.00210680        0.00000252
874        0.00210932        0.00000252
875        0.00211184        0.00000252
876        0.00211437        0.00000252
877        0.00211689        0.00000252
878        0.00211941        0.00000252
879        0.00212194        0.00000252
880        0.00212446        0.00000252
881        0.00212699        0.00000252
882        0.00212951        0.00000253
883        0.00213204        0.00000253
884        0.00213456        0.00000253
885        0.00213709        0.00000253
886        0.00213962        0.00000253
887        0.00214214        0.00000253
888        0.00214467        0.00000253
889        0.00214719        0.00000253
890        0.00214972        0.00000253
891        0.00215225        0.00000253
892        0.00215478        0.00000253
893        0.00215730        0.00000253
894        0.00215983        0.00000253
895        0.00216236        0.00000253
896        0.00216489        0.00000253
897        0.00216742        0.00000253
898        0.00216995        0.00000253
899        0.00217248        0.00000253
900        0.00217501        0.00000253
901        0.00217754        0.00000253
902        0.00218007        0.00000253
903        0.00218260        0.00000253
904        0.00218513        0.00000253
905        0.00218766        0.00000253
906        0.00219019        0.00000253
907        0.00219272        0.00000253
908        0.00219525        0.00000253
909        0.00219778        0.00000253
910        0.00220032        0.00000253
911        0.00220285        0.00000253
912        0.00220538        0.00000253
913        0.00220791        0.00000253
914        0.00221045        0.00000253
915        0.00221298        0.00000253
916        0.00221551        0.00000253
917        0.00221805        0.00000253
918        0.00222058        0.00000253
919        0.00222312        0.00000253
920        0.00222565        0.00000253
921        0.00222819        0.00000253
922        0.00223072        0.00000254
923        0.00223326        0.00000254
924        0.00223579        0.00000254
925        0.00223833        0.00000254
926        0.00224087        0.00000254
927        0.00224340        0.00000254
928        0.00224594        0.00000254
929        0.00224848        0.00000254
930        0.00225101        0.00000254
931        0.00225355        0.00000254
932        0.00225609        0.00000254
933        0.00225863        0.00000254
934        0.00226116        0.00000254
935        0.00226370        0.00000254
936        0.00226624        0.00000254
937        0.00226878        0.00000254
938        0.00227132        0.00000254
939        0.00227386        0.00000254
940        0.00227640        0.00000254
941        0.00227894        0.00000254
942        0.00228148        0.00000254
943        0.00228402        0.00000254
944        0.00228656        0.00000254
945        0.00228910        0.00000254
946        0.00229164        0.00000254
947        0.00229418        0.00000254
948        0.00229673        0.00000254
949        0.00229927        0.00000254
950        0.00230181        0.00000254
951        0.00230435        0.00000254
952        0.00230690        0.00000254
953        0.00230944        0.00000254
954        0.00231198        0.00000254
955        0.00231453        0.00000254
956        0.00231707        0.00000254
957        0.00231961        0.00000254
958        0.00232216        0.00000254
959        0.00232470        0.00000254
960        0.00232725        0.00000254
961        0.00232979        0.00000255
962        0.00233234        0.00000255
963        0.00233488        0.00000255
964        0.00233743        0.00000255
965        0.00233998        0.00000255
966        0.00234252        0.00000255
967        0.00234507        0.00000255
968        0.00234762        0.00000255
969        0.00235016        0.00000255
970        0.00235271        0.00000255
971        0.00235526        0.00000255
972        0.00235781        0.00000255
973        0.00236035        0.00000255
974        0.00236290        0.00000255
975        0.00236545        0.00000255
976        0.00236800        0.00000255
977        0.00237055        0.00000255
978        0.00237310        0.00000255
979        0.00237565        0.00000255
980        0.00237820        0.00000255
981        0.00238075        0.00000255
982        0.00238330        0.00000255
983        0.00238585        0.00000255
